step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,25,25
2,nan,nan,nan,nan,-1,25
3,nan,nan,nan,nan,-1,25
4,nan,nan,nan,nan,-1,25
5,nan,nan,nan,nan,-1,25
6,nan,nan,nan,nan,-1,25
7,nan,nan,nan,nan,-1,25
8,nan,nan,nan,nan,-1,25
9,nan,nan,nan,nan,25,50
10,nan,nan,nan,nan,-1,50
11,48.277874,0.8913039,0.1875,0.7261425,-1,50
12,47.855152,0.87498605,0.34375,0.7150308,-1,50
13,9.900864,0.47946864,0.4375,0.7961968,-1,50
14,0.23296665,0.31133842,0.21875,0.72896945,-1,50
15,47.94567,0.8449516,0.5625,0.751755,0,50
16,47.63807,0.8983672,0.3125,0.7464705,0,50
17,48.431236,0.88449967,0.1875,0.6786749,-1,50
18,0.23353386,0.31774414,0.375,0.72281843,-1,50
19,48.19134,0.86700684,0.375,0.69532394,-1,50
20,48.774303,0.861024,0.5,0.81006706,50,100
21,88.00119,1.2452474,0.34375,0.7674525,0,100
22,0.2717018,0.3080297,0.1875,0.68739915,-1,100
23,116.8249,1.4419276,0.375,0.78535295,-1,100
24,57.822285,1.0676677,0.46875,0.75594366,-1,100
25,9.771839,0.5138273,0.3125,0.7494179,-1,100
26,0.20910592,0.28975195,0.375,0.74020404,-1,100
27,0.13931021,0.3070119,0.25,0.7107854,-1,100
28,58.460697,1.0799451,0.375,0.7870729,0,0
29,18.910032,0.65756,0.5,0.74838203,-1,0
30,57.962463,1.0623412,0.25,0.76259553,0,0
31,28.832436,0.86836153,0.28125,0.73791224,0,0
32,29.143602,0.89060557,0.3125,0.76137614,-1,0
33,57.908897,1.0872941,0.21875,0.6871937,-1,0
34,48.022175,0.8554216,0.40625,0.774384,-1,0
35,9.8342,0.4696295,0.40625,0.8071623,-1,0
36,48.504784,0.87749374,0.40625,0.74589634,0,0
37,9.889431,0.46106166,0.34375,0.7617676,0,0
38,9.958748,0.4923022,0.21875,0.76182044,-1,0
39,19.67649,0.6747217,0.3125,0.765463,0,0
40,97.34184,1.4143169,0.4375,0.7831866,0,0
41,19.47606,0.6615891,0.46875,0.7830462,0,0
42,106.16567,1.6163006,0.40625,0.7932329,-1,0
43,48.951466,0.87893766,0.21875,0.781664,-1,0
44,48.517258,0.86920273,0.21875,0.74039286,-1,0
45,0.15356535,0.28882805,0.375,0.74748194,-1,0
46,19.592068,0.6797359,0.34375,0.70671797,-1,0
47,58.65199,1.045961,0.3125,0.7816601,-1,0
48,58.05694,1.044074,0.4375,0.70928705,-1,0
49,29.236181,0.84503436,0.5,0.80859935,25,25
50,9.49617,0.4441883,0.34375,0.7233234,0,25
51,58.520077,1.0537994,0.40625,0.7472168,-1,25
52,19.31649,0.68148005,0.21875,0.7413629,-1,25
53,67.83737,1.2535738,0.34375,0.74901557,-1,25
54,19.622276,0.69041216,0.25,0.73688996,-1,25
