step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,0,0
2,nan,nan,nan,nan,0,0
3,nan,nan,nan,nan,0,0
4,nan,nan,nan,nan,0,0
5,nan,nan,nan,nan,0,0
6,nan,nan,nan,nan,-1,0
7,nan,nan,nan,nan,-1,0
8,nan,nan,nan,nan,-1,0
9,nan,nan,nan,nan,-1,0
10,nan,nan,nan,nan,-1,0
11,0.28312674,0.31437525,0.4375,0.33098394,-1,0
12,0.22889754,0.29815307,0.5,0.33130777,0,0
13,0.21607745,0.3142632,0.40625,0.3910649,0,0
14,0.15905066,0.29143238,0.375,0.4142986,0,0
15,0.22047815,0.32783842,0.34375,0.45723367,0,0
16,0.14234608,0.2944836,0.28125,0.47121873,0,0
17,0.14852905,0.29367876,0.40625,0.47872138,-1,0
18,0.14613348,0.26958695,0.5625,0.46471196,-1,0
19,0.1443961,0.29543495,0.21875,0.47763884,-1,0
20,0.2090572,0.32436895,0.125,0.47899252,-1,0
21,0.19217277,0.30821294,0.09375,0.48539186,-1,0
22,0.21541819,0.3434059,0.125,0.49983817,-1,0
23,0.15025103,0.29415798,0.125,0.508829,-1,0
24,0.25170302,0.33900267,0.40625,0.46926603,-1,0
25,0.15229917,0.30096215,0.09375,0.5117923,-1,0
26,0.23187107,0.33208787,0.21875,0.47767156,-1,0
27,0.2605352,0.32942846,0.125,0.5600214,-1,0
28,0.33186606,0.3784659,0.125,0.5930438,0,0
29,0.3162468,0.34355158,0.25,0.6003202,-1,0
30,0.23655893,0.32341558,0.21875,0.57982385,-1,0
31,0.32020968,0.3611622,0.125,0.5799953,-1,0
32,0.30256158,0.3609869,0.15625,0.55409014,-1,0
33,0.30040663,0.35309365,0.125,0.5329521,-1,0
34,0.30577236,0.3584557,0.15625,0.50201786,-1,0
35,0.32879502,0.36748263,0.0625,0.47299844,-1,0
36,0.29753757,0.36243337,0.0625,0.4933365,0,0
37,0.2817675,0.360695,0.15625,0.5275774,-1,0
38,0.2836066,0.3605431,0.15625,0.578639,-1,0
39,0.26659697,0.37016338,0.09375,0.62489355,-1,0
40,0.24597189,0.35930073,0.15625,0.65757465,-1,0
41,0.29770207,0.37163314,0.09375,0.68255556,-1,0
42,0.3316758,0.38803953,0.0625,0.69618535,-1,0
43,0.28284687,0.37310794,0.09375,0.71946865,25,25
44,10.070342,0.5594826,0.09375,0.71000814,0,25
45,0.27701563,0.3789227,0.0625,0.68917936,0,25
46,9.965746,0.5579286,0.125,0.6588007,0,25
47,0.2165983,0.3603704,0.21875,0.6617245,0,25
48,9.805961,0.53688085,0.1875,0.6367707,0,25
49,9.828079,0.5434754,0.03125,0.61670214,-1,25
50,0.1970064,0.35674676,0.1875,0.6278874,-1,25
51,9.77322,0.5636946,0.1875,0.6837889,-1,25
52,9.712314,0.5520848,0.21875,0.6970115,-1,25
53,9.66778,0.5460673,0.25,0.7433672,-1,25
54,9.616318,0.53515697,0.15625,0.7300402,-1,25
55,0.28550518,0.3723169,0.125,0.78073573,-1,25
56,9.65384,0.5577598,0.15625,0.7798561,0,0
57,0.3018331,0.3741539,0.21875,0.783287,0,0
58,9.688537,0.54099244,0.1875,0.820923,0,0
59,0.3447017,0.3992502,0.21875,0.81833726,0,0
60,9.645725,0.55358803,0.25,0.7931231,0,0
61,9.570676,0.5505481,0.28125,0.81003255,0,0
62,9.548347,0.54729676,0.3125,0.81715596,0,0
63,0.28767887,0.34220707,0.25,0.7862613,0,0
64,0.22729288,0.34035838,0.21875,0.7857526,0,0
65,9.557726,0.5126494,0.40625,0.75751555,0,0
66,9.516747,0.51725775,0.34375,0.76811475,0,0
