step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,25,25
2,nan,nan,nan,nan,0,25
3,nan,nan,nan,nan,0,25
4,nan,nan,nan,nan,-1,25
5,nan,nan,nan,nan,-1,25
6,nan,nan,nan,nan,-1,25
7,nan,nan,nan,nan,-1,25
8,nan,nan,nan,nan,-1,25
9,nan,nan,nan,nan,0,25
10,nan,nan,nan,nan,25,50
11,37.362587,1.0042484,0.53125,0.6274333,-1,50
12,94.65495,1.7573402,0.5,0.66326046,-1,50
13,46.50364,1.18881,0.5,0.6073611,-1,50
14,56.202812,1.3590039,0.53125,0.6645415,-1,50
15,38.434345,1.0370281,0.3125,0.56078064,-1,50
16,46.667885,1.1948342,0.5,0.6486626,-1,50
17,27.863316,0.8202095,0.46875,0.6484041,-1,50
18,0.1530445,0.2522722,0.375,0.54987687,-1,50
19,46.76055,1.1920304,0.53125,0.6586342,-1,50
20,47.515137,1.2366118,0.25,0.6219556,-1,50
21,65.84609,1.5624161,0.59375,0.6554093,50,100
22,28.066706,0.854657,0.3125,0.5662762,0,100
23,66.56242,1.2428528,0.25,0.58966994,0,100
24,104.31455,1.9372976,0.625,0.7027564,-1,100
25,37.894775,1.0153788,0.375,0.64867395,-1,100
26,28.052132,0.85383403,0.34375,0.57385325,-1,100
27,66.45792,1.2016051,0.3125,0.62395227,-1,100
28,76.11372,1.3493447,0.65625,0.6626665,0,0
29,37.507675,1.0144588,0.59375,0.6302551,25,25
30,19.047031,0.61768615,0.375,0.638551,0,25
31,75.93084,1.4087274,0.375,0.6310848,0,25
32,18.70058,0.64542097,0.46875,0.6464394,0,25
33,46.720093,1.2099794,0.5625,0.63098943,-1,25
34,47.703693,1.2338421,0.46875,0.6268997,-1,25
35,66.38747,1.2111077,0.40625,0.67195076,-1,25
36,18.907951,0.6264445,0.5625,0.66433465,-1,25
37,18.996017,0.63865244,0.375,0.5963105,25,50
38,18.967327,0.6640624,0.3125,0.61298263,-1,50
39,47.625526,1.2473724,0.375,0.66597974,-1,50
40,47.892914,1.2117895,0.4375,0.65893626,-1,50
41,83.10101,1.9098685,0.4375,0.7442037,-1,50
42,65.042404,1.5748572,0.46875,0.60596174,-1,50
43,57.878304,1.3959938,0.53125,0.64659446,-1,50
44,38.543644,0.6523329,0.25,0.6203746,25,75
45,18.564701,0.6607809,0.34375,0.61003935,-1,75
46,37.608303,1.0286446,0.4375,0.616915,0,75
47,57.108337,1.0235178,0.3125,0.6790443,0,75
48,74.96457,1.7211076,0.53125,0.7375785,0,75
49,37.01245,0.99759614,0.40625,0.6324441,-1,75
50,46.976204,1.2032163,0.40625,0.67041624,-1,75
51,75.43063,1.761652,0.40625,0.67287254,-1,75
52,46.28512,1.1811959,0.5,0.66534877,-1,75
53,64.91615,1.5759876,0.53125,0.64494324,-1,75
54,65.15058,1.5882773,0.34375,0.7050941,-1,75
