step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,-1,0
2,nan,nan,nan,nan,0,0
3,nan,nan,nan,nan,0,0
4,nan,nan,nan,nan,-1,0
5,nan,nan,nan,nan,-1,0
6,nan,nan,nan,nan,-1,0
7,nan,nan,nan,nan,-1,0
8,nan,nan,nan,nan,-1,0
9,nan,nan,nan,nan,-1,0
10,nan,nan,nan,nan,-1,0
11,38.62937,1.0617454,0.21875,0.60589194,-1,0
12,46.902664,1.1814976,0.4375,0.61686903,0,0
13,9.418255,0.46863803,0.3125,0.59646267,0,0
14,28.256111,0.81944716,0.34375,0.56691265,0,0
15,28.164734,0.8298522,0.40625,0.58143044,-1,0
16,66.28339,1.6264004,0.34375,0.63738364,-1,0
17,76.02297,1.4056693,0.4375,0.563875,-1,0
18,38.031338,0.99462503,0.5,0.6119995,-1,0
19,18.866505,0.6599333,0.34375,0.5293126,-1,0
20,37.617794,1.0014606,0.40625,0.6215911,-1,0
21,37.506264,1.0097593,0.34375,0.5777657,0,0
22,28.381214,0.84975576,0.28125,0.57568014,-1,0
23,75.0965,1.7550416,0.375,0.7206077,-1,0
24,19.363213,0.69827414,0.1875,0.55688906,-1,0
25,38.82291,0.99857837,0.5,0.65483725,-1,0
26,38.554123,1.0408049,0.28125,0.6034384,-1,0
27,65.92903,1.5748587,0.40625,0.6299137,-1,0
28,38.65749,1.0220098,0.3125,0.633269,0,0
29,28.10348,0.84008634,0.21875,0.56142044,25,25
30,56.30863,1.3702691,0.5,0.6740637,0,25
31,9.487731,0.47810212,0.3125,0.5553305,0,25
32,46.97435,1.1896024,0.3125,0.6047892,0,25
33,28.285324,0.83339936,0.375,0.55937916,-1,25
34,37.574417,1.0286086,0.40625,0.5834677,-1,25
35,0.1795148,0.27994162,0.34375,0.5582051,-1,25
36,19.08859,0.6926418,0.25,0.63312626,-1,25
37,0.17985001,0.2839526,0.21875,0.5364552,25,50
38,65.48712,1.5766752,0.3125,0.676463,0,50
39,28.264488,0.8319818,0.375,0.58802724,-1,50
40,28.322916,0.84539294,0.34375,0.60867965,-1,50
41,28.306168,0.84838283,0.375,0.5890081,-1,50
42,0.15959814,0.27130353,0.3125,0.5737818,-1,50
