step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,0,0
2,nan,nan,nan,nan,-1,0
3,nan,nan,nan,nan,25,25
4,nan,nan,nan,nan,-1,25
5,nan,nan,nan,nan,-1,25
6,nan,nan,nan,nan,-1,25
7,nan,nan,nan,nan,-1,25
8,nan,nan,nan,nan,0,25
9,nan,nan,nan,nan,-1,25
10,nan,nan,nan,nan,-1,25
11,86.093056,1.2578998,0.34375,0.67820203,-1,25
12,9.544141,0.5025165,0.25,0.69339657,-1,25
13,19.081934,0.6917244,0.34375,0.68721884,25,50
14,76.55783,1.4489154,0.46875,0.71812856,0,50
15,9.794639,0.50437176,0.40625,0.62689996,-1,50
16,29.105085,0.8930628,0.40625,0.72100013,-1,50
17,0.27555114,0.34011373,0.25,0.62205696,-1,50
18,19.252483,0.7012061,0.375,0.6188923,-1,50
19,38.459858,0.70241296,0.40625,0.61233556,-1,50
20,0.21973443,0.3066743,0.21875,0.65038705,-1,50
21,38.07792,1.0314567,0.34375,0.7352258,-1,50
22,19.064344,0.7020691,0.40625,0.7048712,0,50
23,77.94691,1.4643524,0.25,0.72513926,-1,50
24,38.76374,1.1076317,0.21875,0.632855,-1,50
25,0.22290713,0.3437442,0.34375,0.6491128,-1,50
26,0.27343595,0.33340526,0.21875,0.65804,-1,50
27,38.121113,1.0507922,0.375,0.65855503,-1,50
28,19.241695,0.7364577,0.21875,0.66575676,0,0
29,0.23326343,0.3225035,0.1875,0.64515305,-1,0
30,0.21169521,0.3249304,0.375,0.65226007,-1,0
31,0.26724792,0.34360754,0.1875,0.6183158,-1,0
32,19.780146,0.6903453,0.28125,0.6646552,-1,0
33,76.78646,1.0898746,0.3125,0.65861726,25,25
34,86.373344,1.2644382,0.34375,0.7026488,0,25
35,9.76706,0.5046377,0.28125,0.7089149,0,25
36,19.354738,0.7075622,0.1875,0.66288626,25,50
37,29.56012,0.90323734,0.25,0.68703604,0,50
38,29.575466,0.8813807,0.25,0.6906661,-1,50
39,9.962626,0.52176243,0.25,0.6346783,-1,50
40,19.778694,0.69696724,0.28125,0.69675446,-1,50
41,9.534034,0.5135877,0.28125,0.70853007,25,75
42,0.3108472,0.3410518,0.34375,0.6308884,0,75
43,19.155647,0.6812812,0.375,0.63278276,0,75
44,9.880312,0.534847,0.1875,0.6754786,0,75
45,76.732956,1.427672,0.34375,0.73842,0,75
46,76.75191,1.4317391,0.375,0.738281,0,75
47,57.273335,1.053054,0.4375,0.6839652,-1,75
48,9.877451,0.52871656,0.21875,0.64240015,25,100
49,19.41493,0.7061875,0.375,0.62412775,-1,100
50,19.033499,0.70095503,0.3125,0.6624334,-1,100
51,38.794937,1.0801649,0.40625,0.65765095,-1,100
52,19.331297,0.7023585,0.25,0.61450946,-1,100
53,0.23434949,0.33298588,0.3125,0.6200357,-1,100
54,19.502966,0.6858891,0.34375,0.69609016,-1,100
55,58.437115,1.0605251,0.375,0.6661498,-1,100
56,0.22658144,0.32819206,0.125,0.56465113,0,0
57,9.517201,0.49879473,0.34375,0.6478745,-1,0
58,9.554337,0.48592544,0.34375,0.7219921,-1,0
59,9.702737,0.5141673,0.28125,0.6906564,-1,0
60,19.612675,0.69209194,0.21875,0.65186834,-1,0
61,38.930695,1.0958161,0.34375,0.65632653,-1,0
62,67.53215,1.282735,0.28125,0.718972,-1,0
63,9.714768,0.5173063,0.28125,0.65039104,-1,0
64,67.26219,1.5798397,0.46875,0.78206277,25,25
65,48.28669,0.8704915,0.3125,0.72239625,25,50
66,9.94221,0.52124274,0.15625,0.6466419,-1,50
67,18.92274,0.7293778,0.15625,0.6542424,0,50
