step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,0,0
2,nan,nan,nan,nan,0,0
3,nan,nan,nan,nan,-1,0
4,nan,nan,nan,nan,-1,0
5,nan,nan,nan,nan,0,0
6,nan,nan,nan,nan,-1,0
7,nan,nan,nan,nan,-1,0
8,nan,nan,nan,nan,-1,0
9,nan,nan,nan,nan,-1,0
10,nan,nan,nan,nan,-1,0
11,29.232983,0.8927038,0.3125,0.7503246,0,0
12,20.51667,0.69260406,0.25,0.7253593,-1,0
13,0.29497772,0.33139628,0.1875,0.70200324,-1,0
14,19.325312,0.6775075,0.28125,0.677778,0,0
15,19.292559,0.6838261,0.25,0.7043886,-1,0
16,47.76458,1.2468297,0.375,0.75615937,-1,0
17,19.998232,0.700403,0.25,0.68629134,-1,0
18,19.344927,0.668862,0.34375,0.7297257,-1,0
19,19.397419,0.70875883,0.25,0.69999886,-1,0
20,0.25626597,0.3184424,0.1875,0.726934,-1,0
21,39.38635,1.0780745,0.34375,0.72719127,-1,0
22,86.53479,1.283805,0.34375,0.6825572,-1,0
23,0.33615887,0.35176346,0.15625,0.6635656,-1,0
24,9.783954,0.49739325,0.34375,0.7346535,-1,0
25,87.97651,1.6645718,0.3125,0.73235834,-1,0
26,20.03088,0.7118608,0.1875,0.73214346,-1,0
27,9.75406,0.5478457,0.21875,0.65960866,-1,0
28,96.02731,1.8185492,0.40625,0.70849764,0,0
29,19.253414,0.7158768,0.34375,0.73147625,-1,0
30,18.996956,0.6812124,0.3125,0.71040773,0,0
31,9.986764,0.5220012,0.3125,0.7679223,0,0
32,29.118855,0.892259,0.25,0.72407496,-1,0
33,58.241028,1.0852777,0.3125,0.66199434,-1,0
34,10.011544,0.5070338,0.25,0.69810337,-1,0
35,48.14876,0.901649,0.25,0.70443743,-1,0
36,9.564937,0.48354065,0.34375,0.7152988,0,0
37,48.641506,0.9012579,0.375,0.72133636,-1,0
38,19.644457,0.7176805,0.28125,0.69630885,-1,0
39,0.32306397,0.34801352,0.15625,0.6734522,-1,0
40,19.947727,0.7072629,0.40625,0.74870044,-1,0
41,58.505455,1.1184783,0.28125,0.7061051,-1,0
42,0.20536594,0.30483928,0.375,0.6352855,-1,0
43,47.960934,0.84218687,0.375,0.762421,-1,0
44,48.447914,0.8920407,0.3125,0.7109899,-1,0
45,0.12000914,0.30433953,0.28125,0.70784855,-1,0
46,10.084548,0.52147675,0.375,0.67889875,-1,0
47,0.23754269,0.30236095,0.28125,0.78345436,-1,0
48,9.831411,0.49750048,0.375,0.6713326,25,25
49,57.229336,1.0721352,0.375,0.7728003,-1,25
50,57.999126,1.0993867,0.25,0.6817442,-1,25
51,68.19354,1.2720082,0.40625,0.773432,-1,25
52,9.883156,0.4910565,0.375,0.72869694,-1,25
53,19.695324,0.6840253,0.3125,0.7036768,-1,25
54,57.445583,1.4509863,0.3125,0.7303611,-1,25
55,19.58391,0.666962,0.34375,0.7466281,-1,25
56,10.624036,0.49885175,0.1875,0.72936726,0,0
57,9.9948635,0.52005017,0.28125,0.66553116,25,25
58,19.363066,0.7077195,0.1875,0.70027196,0,25
59,19.264524,0.71790314,0.1875,0.7048112,-1,25
60,57.968987,1.1022075,0.25,0.7565329,-1,25
61,28.575989,0.88380075,0.4375,0.75329685,-1,25
62,19.519909,0.70508265,0.25,0.6364157,-1,25
63,68.14582,1.2681153,0.34375,0.7120462,-1,25
64,0.2727046,0.35357535,0.15625,0.62321377,-1,25
65,19.705627,0.694101,0.3125,0.67689383,25,50
66,9.575912,0.501652,0.21875,0.64383453,-1,50
67,29.371113,0.8904263,0.15625,0.7006717,-1,50
