step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,0,0
2,nan,nan,nan,nan,0,0
3,nan,nan,nan,nan,0,0
4,nan,nan,nan,nan,-1,0
5,nan,nan,nan,nan,-1,0
6,nan,nan,nan,nan,-1,0
7,nan,nan,nan,nan,-1,0
8,nan,nan,nan,nan,50,50
9,nan,nan,nan,nan,-1,50
10,nan,nan,nan,nan,-1,50
11,29.237408,0.8777081,0.34375,0.71502334,-1,50
12,106.67264,1.6463543,0.28125,0.80040705,-1,50
13,28.820004,0.85090244,0.40625,0.78181934,-1,50
14,39.177715,0.65509325,0.59375,0.82773393,-1,50
15,9.983023,0.51400614,0.28125,0.85649174,-1,50
16,0.19512188,0.32485807,0.34375,0.65800595,0,50
17,67.77882,1.2613525,0.34375,0.81805694,-1,50
18,19.419752,0.6726568,0.28125,0.8065711,-1,50
19,9.941567,0.49425244,0.3125,0.7403072,-1,50
20,9.985957,0.4669639,0.375,0.7979547,-1,50
21,19.638405,0.6794485,0.40625,0.7689544,-1,50
22,9.948245,0.49215704,0.34375,0.71475625,-1,50
23,19.714108,0.7119931,0.34375,0.70541465,-1,50
24,38.651886,1.0391746,0.40625,0.7634374,-1,50
25,9.814907,0.4735298,0.46875,0.73599005,-1,50
26,9.902591,0.5178693,0.40625,0.7702485,-1,50
27,39.332916,1.0601794,0.375,0.7467153,-1,50
28,19.520388,0.6673321,0.375,0.73143125,0,0
29,28.952007,0.8645297,0.375,0.74878967,0,0
30,0.21286044,0.29473057,0.28125,0.73855424,0,0
31,28.696299,0.8485725,0.53125,0.8646507,0,0
32,9.726944,0.5001563,0.28125,0.69344115,-1,0
33,9.543449,0.48071098,0.34375,0.7662078,-1,0
34,19.653183,0.65566015,0.40625,0.72587,-1,0
35,59.200172,1.1095601,0.4375,0.74785113,-1,0
36,10.033559,0.5039501,0.28125,0.786299,-1,0
37,29.537071,0.89016545,0.28125,0.7992624,0,0
38,58.53316,1.0367076,0.4375,0.7395421,-1,0
39,19.709965,0.70567954,0.40625,0.77450174,0,0
40,77.991295,1.0603657,0.25,0.7679102,-1,0
41,19.529509,0.6802057,0.3125,0.7637173,-1,0
42,10.682721,0.50353336,0.375,0.7336247,-1,0
43,29.185062,0.895168,0.28125,0.76645064,-1,0
44,9.913743,0.5031804,0.375,0.78019905,-1,0
45,48.692123,0.8921522,0.34375,0.7401914,-1,0
46,29.042206,0.87286025,0.25,0.7055838,-1,0
47,48.175888,0.85985976,0.34375,0.7577374,-1,0
48,29.551579,0.87636685,0.28125,0.8409333,-1,0
49,9.765913,0.52428395,0.46875,0.7333729,-1,0
50,67.8226,1.244817,0.375,0.7761822,-1,0
51,39.398376,1.0826215,0.28125,0.7515383,-1,0
52,9.972756,0.49407163,0.28125,0.74845564,-1,0
53,58.29172,1.061997,0.3125,0.7500943,-1,0
54,29.190943,0.85284585,0.34375,0.74150383,-1,0
55,19.384682,0.6792755,0.3125,0.7559594,-1,0
56,49.10547,0.8879134,0.34375,0.76240075,0,0
57,58.423077,1.0480994,0.40625,0.7780397,-1,0
58,9.897182,0.48813862,0.4375,0.79031193,0,0
59,38.667686,0.6937882,0.34375,0.7482991,-1,0
60,18.815964,0.6898638,0.15625,0.75706625,-1,0
61,19.718893,0.6664691,0.375,0.8106123,-1,0
62,19.654621,0.6672739,0.40625,0.7227564,-1,0
63,10.01623,0.51144385,0.375,0.7506519,-1,0
64,9.520749,0.4921136,0.4375,0.76749647,25,25
65,0.30288857,0.33980238,0.3125,0.70216244,-1,25
66,9.940972,0.50214297,0.375,0.7357963,-1,25
67,58.47026,1.0826913,0.34375,0.7474716,25,50
