step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,25,25
2,nan,nan,nan,nan,0,25
3,nan,nan,nan,nan,0,25
4,nan,nan,nan,nan,0,25
5,nan,nan,nan,nan,0,25
6,nan,nan,nan,nan,-1,25
7,nan,nan,nan,nan,-1,25
8,nan,nan,nan,nan,-1,25
9,nan,nan,nan,nan,25,50
10,nan,nan,nan,nan,0,50
11,18.829771,0.63029695,0.46875,0.61923355,0,50
12,28.317533,0.8402734,0.40625,0.59955406,0,50
13,9.7190275,0.4897027,0.34375,0.56254125,0,50
14,0.28252095,0.30620325,0.34375,0.5582162,0,50
15,37.58824,0.9691154,0.5625,0.63587147,0,50
16,18.917463,0.6585034,0.40625,0.5853719,25,75
17,28.495113,0.85402405,0.46875,0.5982801,-1,75
18,37.90254,1.0269233,0.40625,0.57852453,-1,75
19,37.7581,1.004689,0.53125,0.62842613,-1,75
20,28.335983,0.88553715,0.28125,0.57709026,-1,75
21,9.474499,0.47648475,0.3125,0.588277,-1,75
22,37.69683,1.0419984,0.375,0.5938769,-1,75
23,18.877335,0.66955334,0.34375,0.5666013,-1,75
24,56.434532,1.371165,0.5,0.6201919,-1,75
25,47.199097,1.1864572,0.59375,0.6332584,-1,75
26,28.229752,0.8477231,0.40625,0.6043374,-1,75
27,18.916504,0.6295172,0.5,0.5916456,-1,75
28,9.725307,0.468912,0.34375,0.6601998,0,0
29,47.066845,1.2079964,0.46875,0.583659,25,25
30,46.413162,1.1763775,0.59375,0.60415465,-1,25
31,37.626385,1.0109377,0.46875,0.5948016,-1,25
32,28.201408,0.8774906,0.34375,0.5327425,-1,25
33,46.687607,1.2130052,0.5,0.64244264,-1,25
34,47.188885,1.2683315,0.5,0.5771642,-1,25
35,9.755512,0.47080642,0.34375,0.57353634,-1,25
36,28.404612,0.8412469,0.40625,0.58622503,-1,25
37,37.362743,1.0140021,0.53125,0.55741656,25,50
38,46.689972,1.2000363,0.53125,0.6364819,0,50
39,37.569164,1.0356138,0.375,0.59377944,0,50
40,0.24180128,0.29570526,0.3125,0.5363625,0,50
41,55.93715,1.4195762,0.59375,0.6018164,0,50
42,18.710373,0.64135563,0.4375,0.5500994,0,50
43,46.98175,1.2073493,0.5625,0.6063124,0,50
44,37.40789,1.0198145,0.46875,0.5700302,25,75
45,37.284416,1.0193789,0.40625,0.57338,-1,75
46,37.591454,0.99186814,0.5625,0.6108685,-1,75
47,28.165714,0.85025024,0.5,0.55858773,-1,75
48,28.079914,0.8776144,0.28125,0.54103005,-1,75
49,28.173023,0.842299,0.5625,0.5695199,-1,75
50,56.42315,1.4170256,0.28125,0.5396012,-1,75
51,28.163025,0.8350353,0.5,0.5884392,-1,75
52,18.963873,0.6699474,0.4375,0.54482466,-1,75
53,28.098938,0.8604547,0.40625,0.550362,-1,75
54,37.842274,1.0247233,0.28125,0.5577973,-1,75
