step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,0,0
2,nan,nan,nan,nan,0,0
3,nan,nan,nan,nan,-1,0
4,nan,nan,nan,nan,-1,0
5,nan,nan,nan,nan,0,0
6,nan,nan,nan,nan,0,0
7,nan,nan,nan,nan,-1,0
8,nan,nan,nan,nan,-1,0
9,nan,nan,nan,nan,-1,0
10,nan,nan,nan,nan,-1,0
11,67.00677,1.2574308,0.34375,0.7161454,0,0
12,9.603257,0.5230689,0.1875,0.6005169,-1,0
13,38.96365,0.71407473,0.40625,0.67972225,-1,0
14,28.464771,0.881007,0.3125,0.7164311,-1,0
15,19.474218,0.7056286,0.34375,0.7079509,-1,0
16,48.15863,1.2472565,0.4375,0.68070996,-1,0
17,19.49096,0.7212659,0.25,0.6513434,-1,0
18,9.628001,0.532364,0.46875,0.6471984,-1,0
19,0.26535416,0.3278312,0.1875,0.6346791,-1,0
20,19.7458,0.67807263,0.34375,0.6734151,25,25
21,48.93459,0.9221165,0.4375,0.60262895,0,25
22,19.319016,0.6992705,0.1875,0.69521266,-1,25
23,19.695297,0.6983223,0.25,0.6976686,-1,25
24,28.799503,0.87358737,0.34375,0.6968209,-1,25
25,48.002632,0.92053396,0.3125,0.60880363,-1,25
26,59.4124,1.1041596,0.34375,0.72573936,-1,25
27,67.483185,1.2378902,0.46875,0.74261975,-1,25
28,28.703424,0.88157785,0.40625,0.6260686,0,0
29,38.95849,1.066429,0.40625,0.7338494,-1,0
30,28.39112,0.87065256,0.3125,0.7137322,-1,0
31,9.756432,0.5094991,0.40625,0.6311046,-1,0
32,19.410336,0.7226157,0.40625,0.6200534,-1,0
33,47.751648,0.8907642,0.34375,0.66567266,-1,0
34,86.59662,1.2715201,0.375,0.75183,-1,0
35,19.234514,0.68924105,0.34375,0.61162144,-1,0
36,0.23095162,0.33268332,0.375,0.6200693,25,25
37,38.020874,1.0575064,0.375,0.738302,0,25
38,39.846836,1.076837,0.3125,0.6898682,-1,25
39,29.844257,0.8838537,0.25,0.74007857,25,50
40,28.726755,0.8712822,0.4375,0.693586,-1,50
41,29.866983,0.8917511,0.34375,0.74421567,-1,50
42,9.710868,0.50247246,0.28125,0.7278723,-1,50
43,28.848116,0.8930047,0.1875,0.67054063,-1,50
44,9.97698,0.4982663,0.25,0.65965563,50,100
45,9.355082,0.46529883,0.375,0.72394264,-1,100
46,19.132933,0.715932,0.28125,0.58295316,-1,100
47,29.105722,0.89173305,0.25,0.6629785,-1,100
48,59.45849,1.4560632,0.4375,0.73877645,-1,100
49,38.669758,1.0843542,0.1875,0.65369016,-1,100
50,78.41391,1.4783559,0.34375,0.720901,-1,100
51,29.023895,0.8899595,0.3125,0.7037872,-1,100
52,19.134485,0.6731672,0.40625,0.65807223,-1,100
53,39.634907,1.067956,0.28125,0.70187926,-1,100
54,19.607311,0.7141334,0.1875,0.6392109,-1,100
55,9.611911,0.5237174,0.34375,0.592803,-1,100
56,9.975813,0.48504835,0.3125,0.67165744,0,100
57,9.912683,0.5189227,0.28125,0.67046064,0,0
58,49.554108,0.916854,0.28125,0.6854013,-1,0
59,0.20317633,0.338791,0.28125,0.64659345,-1,0
60,48.379734,0.90737814,0.21875,0.6067744,25,25
61,29.291752,0.9008789,0.34375,0.64761305,0,25
62,39.59366,1.0659378,0.34375,0.6811482,-1,25
63,9.938073,0.50391483,0.375,0.64040524,-1,25
64,57.68883,1.0572779,0.4375,0.6760608,-1,25
65,0.27126545,0.33242655,0.34375,0.5989067,25,50
66,48.95377,0.8942075,0.40625,0.7083658,0,50
67,9.563429,0.4996363,0.28125,0.6478933,0,50
