step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,-1,0
2,nan,nan,nan,nan,0,0
3,nan,nan,nan,nan,0,0
4,nan,nan,nan,nan,-1,0
5,nan,nan,nan,nan,-1,0
6,nan,nan,nan,nan,-1,0
7,nan,nan,nan,nan,0,0
8,nan,nan,nan,nan,0,0
9,nan,nan,nan,nan,-1,0
10,nan,nan,nan,nan,-1,0
11,0.28200054,0.32612705,0.25,0.82115865,-1,0
12,47.39821,1.2513623,0.46875,0.7959058,50,50
13,19.056257,0.6960248,0.28125,0.7631258,0,50
14,20.381493,0.70866215,0.25,0.80029887,-1,50
15,9.686665,0.48036817,0.4375,0.73842466,-1,50
16,39.288948,0.69361365,0.15625,0.72726953,-1,50
17,38.358463,0.69422877,0.28125,0.7617303,-1,50
18,0.32851472,0.3196788,0.0625,0.75810146,-1,50
19,28.966957,0.8579835,0.3125,0.81032497,-1,50
20,48.317474,0.8705417,0.46875,0.7498606,0,50
21,30.123196,0.885774,0.40625,0.82265323,-1,50
22,9.453897,0.49162295,0.25,0.7150857,-1,50
23,19.56513,0.6835115,0.28125,0.78969705,-1,50
24,9.402151,0.50312877,0.15625,0.6997695,-1,50
25,58.46215,1.091835,0.25,0.7751807,-1,50
26,48.272404,0.8854512,0.25,0.77124584,-1,50
27,47.629196,0.85679364,0.5625,0.7830368,-1,50
28,0.23523352,0.31653368,0.25,0.7352351,0,50
29,9.386661,0.47814336,0.34375,0.7566398,0,0
30,9.71657,0.5027597,0.25,0.7456734,-1,0
31,0.2987426,0.3435943,0.15625,0.67624223,0,0
32,19.499825,0.6906552,0.3125,0.7744636,0,0
33,18.948795,0.7068474,0.125,0.7200245,-1,0
34,9.767085,0.522892,0.21875,0.7551998,-1,0
35,20.274635,0.697696,0.375,0.7761153,-1,0
36,0.2844184,0.33165795,0.1875,0.743441,-1,0
37,18.721802,0.685604,0.3125,0.73508406,0,0
38,28.575357,0.86421305,0.3125,0.7813963,0,0
39,10.626243,0.54536295,0.1875,0.6837816,0,0
40,19.114582,0.7162853,0.1875,0.75677633,-1,0
41,10.015007,0.51520026,0.3125,0.7429871,-1,0
42,0.33085442,0.3219428,0.34375,0.7179742,-1,0
