step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,0,0
2,nan,nan,nan,nan,-1,0
3,nan,nan,nan,nan,0,0
4,nan,nan,nan,nan,-1,0
5,nan,nan,nan,nan,-1,0
6,nan,nan,nan,nan,-1,0
7,nan,nan,nan,nan,-1,0
8,nan,nan,nan,nan,-1,0
9,nan,nan,nan,nan,0,0
10,nan,nan,nan,nan,0,0
11,47.738785,0.8498489,0.375,0.7594,-1,0
12,0.15854786,0.3068311,0.21875,0.7174733,-1,0
13,19.628984,0.6765326,0.5,0.8398514,-1,0
14,19.02344,0.6496114,0.4375,0.823341,-1,0
15,48.311363,1.2469932,0.40625,0.80020416,-1,0
16,19.7175,0.7106935,0.34375,0.7920106,50,50
17,9.706249,0.47185677,0.40625,0.8347556,-1,50
18,38.72656,1.0272596,0.46875,0.7944095,-1,50
19,58.18936,1.0622686,0.375,0.7982767,-1,50
20,38.76033,1.0330355,0.40625,0.8134531,-1,50
21,9.529963,0.5000861,0.34375,0.75875366,-1,50
22,77.94865,1.4178004,0.375,0.8661549,-1,50
23,0.1707237,0.31173325,0.25,0.7788673,-1,50
24,38.73885,1.0463715,0.5,0.80582756,-1,50
25,48.824,0.86072147,0.375,0.83194196,-1,50
26,9.370391,0.5092728,0.34375,0.8092244,-1,50
27,39.153378,0.66339934,0.40625,0.817663,-1,50
28,9.915577,0.49877715,0.21875,0.8086313,0,0
29,9.968971,0.5157056,0.25,0.7653303,25,25
30,48.984707,0.86956847,0.375,0.78771746,0,25
31,0.18055578,0.30228025,0.34375,0.7688586,-1,25
32,39.109528,1.0557323,0.28125,0.8282026,-1,25
33,20.184177,0.712659,0.3125,0.86430514,-1,25
34,95.81849,1.4423459,0.40625,0.80350506,-1,25
35,39.869644,1.0718708,0.34375,0.78556526,-1,25
36,57.168854,1.0361254,0.5,0.7704934,-1,25
37,39.32742,0.6904899,0.40625,0.78072876,-1,25
38,10.016426,0.5166985,0.28125,0.8420875,0,25
39,9.319387,0.4883216,0.40625,0.87619996,-1,25
40,0.25445575,0.30940259,0.21875,0.8005931,-1,25
41,0.24541128,0.34209102,0.15625,0.7754401,-1,25
42,29.812998,0.87579685,0.5,0.83984685,-1,25
43,9.35373,0.5265271,0.34375,0.8010965,-1,25
44,58.75468,1.0571842,0.375,0.83234197,0,25
45,20.452818,0.68252224,0.34375,0.74772465,0,25
46,9.993319,0.49572986,0.3125,0.8535327,-1,25
47,10.547014,0.49887913,0.4375,0.8029913,-1,25
48,87.64592,1.2546818,0.40625,0.80788267,-1,25
49,19.431328,0.66319895,0.40625,0.7781639,-1,25
50,47.166733,0.84174883,0.53125,0.7855331,-1,25
51,9.316616,0.4974138,0.34375,0.7784212,-1,25
52,57.56441,1.0570717,0.34375,0.8180949,-1,25
53,48.725662,1.2442353,0.46875,0.8718257,-1,25
54,19.571941,0.6953621,0.3125,0.82322776,-1,25
55,67.14856,1.2301623,0.5625,0.80871725,-1,25
56,47.275402,0.8722085,0.28125,0.7610692,0,0
57,19.616991,0.67779756,0.46875,0.7756977,25,25
58,0.18640947,0.29542208,0.21875,0.7710524,0,25
59,0.15473709,0.30064172,0.40625,0.82159877,-1,25
60,18.991133,0.66567594,0.4375,0.764045,-1,25
61,57.28052,1.014615,0.40625,0.77680755,-1,25
62,57.77932,1.0546883,0.375,0.7496604,-1,25
63,20.34412,0.67430973,0.375,0.7911402,-1,25
64,9.954997,0.50297266,0.3125,0.8589606,-1,25
65,9.9566345,0.48936272,0.375,0.7590758,0,25
66,67.977936,1.2441294,0.375,0.81977415,25,50
67,20.369144,0.6837778,0.34375,0.809922,-1,50
