step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,25,25
2,nan,nan,nan,nan,-1,25
3,nan,nan,nan,nan,-1,25
4,nan,nan,nan,nan,-1,25
5,nan,nan,nan,nan,-1,25
6,nan,nan,nan,nan,-1,25
7,nan,nan,nan,nan,-1,25
8,nan,nan,nan,nan,-1,25
9,nan,nan,nan,nan,0,25
10,nan,nan,nan,nan,0,25
11,0.37460408,0.3637395,0.25,0.30835003,-1,25
12,38.98522,1.1067326,0.59375,0.35053557,-1,25
13,19.548101,0.7599828,0.6875,0.40546086,-1,25
14,19.35657,0.75214493,0.6875,0.4769636,-1,25
15,28.594711,0.92452556,0.59375,0.53168774,-1,25
16,19.108955,0.77094054,0.625,0.5535642,-1,25
17,9.738269,0.5903147,0.8125,0.5706303,-1,25
18,46.947304,1.3326893,0.875,0.6662029,-1,25
19,9.674723,0.5885434,0.6875,0.69415474,-1,25
20,19.04197,0.79824084,0.75,0.74364555,-1,25
21,9.677315,0.599997,0.71875,0.8307601,25,50
22,38.016144,1.1721731,0.78125,0.7863349,-1,50
23,56.239716,1.5009363,0.75,0.84575975,-1,50
24,19.136307,0.80066967,0.65625,0.8675823,-1,50
25,9.874425,0.6226787,0.5625,0.8555448,-1,50
26,28.449821,0.9789257,0.59375,0.9097749,-1,50
27,9.957063,0.6106994,0.375,0.8914702,-1,50
28,37.594105,1.1437806,0.5,0.9225255,0,0
29,9.694284,0.6190436,0.71875,0.95993495,-1,0
30,19.545494,0.78917634,0.53125,0.9525022,-1,0
31,9.913364,0.57309353,0.46875,0.9653117,-1,0
32,19.256191,0.77960885,0.5,0.95974123,-1,0
33,19.258648,0.77910686,0.53125,0.96569633,-1,0
34,19.249496,0.7718992,0.5,0.97039306,-1,0
35,19.30294,0.7729558,0.46875,0.9695649,-1,0
36,19.28469,0.76675284,0.46875,0.9745281,0,0
37,28.348288,0.93206966,0.5,0.973662,-1,0
38,19.325039,0.7684169,0.46875,0.97168183,-1,0
39,9.949683,0.5759748,0.40625,0.9720589,-1,0
40,19.329353,0.7571222,0.5,0.9718169,-1,0
41,19.33735,0.764872,0.4375,0.97321457,-1,0
42,19.28428,0.74061733,0.46875,0.9732306,-1,0
43,9.910617,0.5761235,0.4375,0.9748596,-1,0
44,19.427776,0.7478416,0.40625,0.97201014,-1,0
45,9.951699,0.5685282,0.40625,0.96627617,0,0
46,19.384224,0.7398476,0.40625,0.96367913,-1,0
47,10.327638,0.56405616,0.34375,0.9591435,-1,0
48,0.8128612,0.38922048,0.375,0.9593204,-1,0
49,0.7938913,0.37901637,0.375,0.9646948,-1,0
50,9.9243965,0.5661333,0.375,0.9455081,-1,0
51,0.70187545,0.37371475,0.40625,0.921507,-1,0
52,19.425583,0.74332976,0.4375,0.92323864,-1,0
53,0.8351658,0.3850041,0.25,0.89521384,-1,0
