step,loss,mean_absolute_error,acc,mean_q,reward,score
0,nan,nan,nan,nan,0,0
1,nan,nan,nan,nan,0,0
2,nan,nan,nan,nan,0,0
3,nan,nan,nan,nan,0,0
4,nan,nan,nan,nan,0,0
5,nan,nan,nan,nan,0,0
6,nan,nan,nan,nan,0,0
7,nan,nan,nan,nan,0,0
8,nan,nan,nan,nan,0,0
9,nan,nan,nan,nan,0,0
10,nan,nan,nan,nan,0,0
11,0.00040602434,0.17843196,1.0,0.30863297,-1,0
12,0.10822761,0.2370983,0.0625,0.30845916,-1,0
13,0.054648813,0.21424803,0.15625,0.30420837,-1,0
14,0.0817009,0.2310709,0.03125,0.3158457,-1,0
15,0.14276034,0.26682398,0.03125,0.34473562,-1,0
16,0.14509392,0.2692868,0.03125,0.35785386,-1,0
17,0.18658346,0.28435844,0.0,0.39184237,25,25
18,0.19206072,0.30325276,0.0,0.433224,-1,25
19,9.789118,0.4915762,0.03125,0.4784299,-1,25
20,9.870795,0.5527153,0.03125,0.50694853,-1,25
21,0.2924405,0.36495072,0.0,0.5533925,-1,25
22,19.2807,0.7347065,0.0625,0.5794171,-1,25
23,28.667847,0.92721975,0.09375,0.6013361,-1,25
24,19.031431,0.7224878,0.0625,0.6799532,-1,25
25,18.957296,0.72643244,0.0625,0.7161726,-1,25
26,28.304806,0.9193264,0.09375,0.7052444,-1,25
27,9.671343,0.56929135,0.03125,0.7274523,-1,25
28,18.921833,0.74781084,0.0625,0.7148789,0,0
29,9.706118,0.57845116,0.09375,0.65637153,-1,0
30,9.737461,0.5644059,0.375,0.6704371,0,0
31,0.26065898,0.36679983,0.3125,0.7377406,-1,0
32,9.663225,0.5519337,0.40625,0.7416203,-1,0
33,9.628187,0.5509667,0.40625,0.7605908,-1,0
34,9.631032,0.55092335,0.40625,0.76553094,-1,0
35,9.654076,0.56399846,0.40625,0.7731658,-1,0
36,9.647676,0.5554079,0.375,0.7616656,0,0
37,9.62861,0.54862005,0.4375,0.7438461,-1,0
38,9.616058,0.5468428,0.34375,0.77493095,0,0
39,9.600548,0.55044127,0.40625,0.78652203,-1,0
40,9.635152,0.5450425,0.34375,0.756884,-1,0
41,9.645912,0.5450416,0.3125,0.7613561,-1,0
42,0.28695905,0.37836757,0.3125,0.7915883,-1,0
43,9.63475,0.54807,0.28125,0.8120388,-1,0
44,9.648618,0.55313706,0.34375,0.7991884,0,0
45,9.675578,0.5480716,0.28125,0.76915586,-1,0
46,9.6011915,0.54530287,0.34375,0.7723179,-1,0
47,9.595062,0.5547919,0.34375,0.768134,-1,0
48,9.617712,0.5616241,0.25,0.73637927,-1,0
49,9.707408,0.5576882,0.375,0.7390608,25,25
50,9.889905,0.57731235,0.375,0.7436172,-1,25
51,19.207096,0.73535955,0.4375,0.7537129,-1,25
52,19.260662,0.7487037,0.375,0.717169,-1,25
53,9.688972,0.55967784,0.375,0.75551355,-1,25
54,9.793281,0.55011773,0.34375,0.7939605,-1,25
55,19.163857,0.7364818,0.4375,0.83545494,-1,25
56,19.267895,0.74594194,0.375,0.8187946,0,0
57,9.806224,0.55683255,0.53125,0.8256227,-1,0
58,0.24348035,0.37633044,0.46875,0.86872536,0,0
59,0.23167156,0.35996968,0.4375,0.83523977,-1,0
60,0.3704674,0.38678855,0.40625,0.86556005,-1,0
61,0.29589224,0.37495002,0.4375,0.8483844,-1,0
62,0.3167819,0.37667143,0.375,0.797819,-1,0
63,9.912846,0.5487515,0.4375,0.84409356,-1,0
64,9.829609,0.55647784,0.40625,0.81341255,-1,0
65,9.821298,0.54452956,0.4375,0.84150565,-1,0
66,9.832681,0.54812765,0.40625,0.87988454,-1,0
67,0.37547982,0.36672944,0.28125,0.8007821,-1,0
